Name,Address,Postal_Code,City,Phone
Orlen Włóczków,"5 Włóczków, 30-103 Kraków",30-103,Kraków,+48 24 256 05 81
bp Kapelanka,"2 Kapelanka, 30-347 Kraków",30-347,Kraków,+48 12 267 02 78
LOTOS Optima Kapelanka,"14 Kapelanka, 30-347 Kraków",30-347,Kraków,Brak telefonu
Shell Konopnickiej,"78 Marii Konopnickiej, 30-302 Kraków",30-302,Kraków,+48 12 656 10 39
R8 Kapelanka,"30 Kapelanka, 30-347 Kraków",30-347,Kraków,Brak telefonu
Orlen Podgórska,"32 Podgórska, 31-536 Kraków",31-536,Kraków,+48 24 256 04 15
Orlen Wioślarska,"Wioślarska, 30-206 Kraków",30-206,Kraków,+48 12 421 34 47
Stacja Korzonek Kazimierz,"20 Piastowska, 30-065 Kraków",30-065,Kraków,+48 12 636 73 82
Tesco Kapelanka,"54 Kapelanka, Kraków",,Kraków,+48 12 255 25 00
bp Mateczny,"4 Wadowicka, 30-415 Kraków",30-415,Kraków,+48 12 266 77 30
Orlen Kazimierza Wielkiego,"121 Kazimierza Wielkiego, 30-074 Kraków",30-074,Kraków,+48 24 256 03 41
Circle K Armii Krajowej,"10 Armii Krajowej, Kraków",,Kraków,+48 12 626 21 05
R8 Prądnicka,"32 Prądnicka, 31-202 Kraków",31-202,Kraków,Brak telefonu
Orlen Kamienna,"18 Kamienna, 31-403 Kraków",31-403,Kraków,+48 24 256 04 94
ARGE Wielicka,"22 Wielicka, 30-552 Kraków",30-552,Kraków,+48 12 257 11 45
Orlen Wielicka,"21 Wielicka, 30-552 Kraków",30-552,Kraków,+48 24 256 00 46
Orlen Roweckiego,"33 Generała Stefana Grota-Roweckiego, 30-348 Kraków",30-348,Kraków,Brak telefonu
Petrodom Kraków,"21 Cystersów, 31-553 Kraków",31-553,Kraków,Brak telefonu
Orlen Armii Krajowej,"21a Armii Krajowej, 30-150 Kraków",30-150,Kraków,+48 24 256 13 78
ARGE Powstańców Wielkopolskich,"13 Powstańców Wielkopolskich, 30-707 Kraków",30-707,Kraków,+48 12 257 00 30
Polpetrol,"Księdza Józefa Tischnera, 30-418 Kraków",30-418,Kraków,Brak telefonu
Realbenz,"56 Bartosza Głowackiego, 30-085 Kraków",30-085,Kraków,+48 12 637 46 09
bp Rogatka,"39B Aleja 29 Listopada, Kraków",,Kraków,+48 12 412 05 33
Orlen Wybickiego,"3e Józefa Wybickiego, 31-261 Kraków",31-261,Kraków,+48 24 286 42 88
Circle K Powstańców Wielkopolskich,"17 Powstańców Wielkopolskich, 30-707 Kraków",30-707,Kraków,+48 12 257 13 49
Krak Gaz,"18 Generała Henryka Kamieńskiego, Kraków",,Kraków,Brak telefonu
Stacja paliw - Czyżewskiego,"1 Tytusa Czyżewskiego, 30-085 Kraków",30-085,Kraków,+48 12 423 78 70
Shell Bratysławska,"1 Bratysławska, 31-201 Kraków",31-201,Kraków,+48 12 631 89 20
Circle K Mogilska,"81 Mogilska, 31-545 Kraków",31-545,Kraków,+48 12 413 89 71
Stacja paliw Auchan,"11 Generała Henryka Kamieńskiego, 30-644 Kraków",30-644,Kraków,Brak telefonu
Orlen Nowohucka,"71 Nowohucka, 30-728 Kraków",30-728,Kraków,+48 24 256 06 39
Novo Oil - Wodna,"2 Wodna, 30-552 Kraków",30-552,Kraków,+48 12 655 97 24
Shell Zakopiańska,"48 Zakopiańska, 30-418 Kraków",30-418,Kraków,+48 12 259 05 60
Shell Wielicka,"77 Wielicka, 30-552 Kraków",30-552,Kraków,+48 12 265 23 50
Stacja Paliw LPG,"Mogilska, 31-445 Kraków",31-445,Kraków,Brak telefonu
bp Bonarka,"57 Generała Henryka Kamieńskiego, 30-644 Kraków",30-644,Kraków,+48 12 265 70 25
Petro Net - Gromadzka,"24e Gromadzka, 30-714 Kraków",30-714,Kraków,+48 12 423 55 66
LOTOS Opolska,"5 Opolska, Kraków",,Kraków,+48 797 601 143
LUKOIL Opolska,"9 Opolska, 31-275 Kraków",31-275,Kraków,+48 12 334 30 28
Orlen Mogilska,"122 Mogilska, 31-478 Kraków",31-478,Kraków,+48 24 256 43 56
Novo Oil - Gdyńska,"Gdyńska, Kraków",,Kraków,Brak telefonu
ARGE Opolska,"60 Opolska, 31-323 Kraków",31-323,Kraków,+48 12 415 81 48
Orlen Pilotów,"4b Pilotów, 31-462 Kraków",31-462,Kraków,+48 24 256 13 19
Orlen Zakopiańska,"58 Zakopiańska, 30-418 Kraków",30-418,Kraków,+48 24 256 40 10
Circle K Lublańska,"16A Lublańska, 31-476 Kraków",31-476,Kraków,+48 12 417 29 36
Full,"3 Kazimierza Wyki, 31-223 Kraków",31-223,Kraków,+48 12 415 50 33
Shell Conrada,"33 Josepha Conrada, 31-357 Kraków",31-357,Kraków,+48 12 626 70 11
Shell Kobierzyńska,"Kobierzyńska, 30-382 Kraków",30-382,Kraków,Brak telefonu
Shell Conrada,"36 Josepha Conrada, 31-357 Kraków",31-357,Kraków,+48 12 290 14 21
Petroactiv,"Saska, 30-720 Kraków",30-720,Kraków,Brak telefonu
bp Rybitwy,"2 Lipska, 30-721 Kraków",30-721,Kraków,+48 12 653 03 05
bp Rondo,"81 Josepha Conrada, 31-357 Kraków",31-357,Kraków,+48 12 636 38 73
Polpetrol,"9 Henryka Pachońskiego, 31-223 Kraków",31-223,Kraków,+48 12 415 31 03
bp Hejnał,"125 Aleja 29 Listopada, 31-406 Kraków",31-406,Kraków,+48 12 417 20 44
BP,"107 Zakopiańska, 30-418 Kraków",30-418,Kraków,+48 12 266 18 94
Stacja paliw,"19 Siewna, 31-231 Kraków",31-231,Kraków,+48 12 415 02 06
Orlen Jasnogórska,"2b Jasnogórska, 31-358 Kraków",31-358,Kraków,+48 24 256 03 74
bp Zakopianka,"107 Zakopiańska, 30-418 Kraków",30-418,Kraków,+48 12 266 18 94
bp Olsza,"4 Aleja Generała Tadeusza Bora-Komorowskiego, 31-476 Kraków",31-476,Kraków,+48 12 411 50 02
Maxon,"Jasnogórska, 31-358 Kraków",31-358,Kraków,+48 12 636 76 56
bp Sezam,"1 Malborska, 30-563 Kraków",30-563,Kraków,+48 12 655 38 78
